LexGram	Gloss1	Gloss2	GramCat	VarPron	GramStr	SemF	Syn	Samples	Comm	NSC	Coll	Lang1	Lang2	Date	Rec	Doc	Nbk	Strg	Date added
əwe me pwa ʁe to mu	she is an actress		phrase			entertainment				NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
əwe mi̤ θawi ne əwe kə gəgeta pwa ʁe to mi	If she were hungry, she would be an actress		phrase							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
əwe mu lʰa	he wishes		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
əwe po kwa ə mæ	his wife		phrase			people				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
əwe po kwa θuʔu θaʔu ləʔə mæ ʔəɣɔ	the man grieves for his wife		phrase							NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
əwe pokwa mu la lə əwe pomu o muti	he wishes that she were alive		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
əwe pokwa mu la nə əwe pomu tɔʔ omu la pə	he wishes that weren't alive		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
əwe pokwa omuti pasa əwe pomu θi li	he is alive, but she is dead		phrase			emotions				NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
əwe pomu ə mu ti	she is alive		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
əwe pomu mI tə θi ne əwe pokwa tɔ pli ta lə	if she had not died, he would not grieve		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
əwe pomu mε omuti ne əwe pokwa kə θaku	if she were alive, he would be happy		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
əwe pomu mε θi ne əwe pokwa kə  pli tə	if she dies, he will grieve		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
əwe pomu omu	she lives		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
əwe ta θawi ə θa	she is hungry	"she something hungry __ heart"	phrase			food				NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
əwe θi	(s)he dies		phrase							NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
gɔ	country		noun			locations,government				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
gɔ	nation		noun			locations,government				NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
gɔ ko	president	ko = "head"	noun			people,government				NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
gɔ ʁe	3-4 countries together		noun			locations				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
gɔ sa	region		noun			locations				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
gɔ sa	region		noun			locations				TS	JGS			9/9/2012	ThurSept9of2012OfficeJessicaTrent				Fall 2012
gɔ se	country		noun			locations,government				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hɔ ko	land		noun			nature				NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
hi	house		noun			house,locations				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi	house		noun			house,locations				TS	JGS			9/9/2012	ThurSept9of2012OfficeJessicaTrent				Fall 2012
hi ɑ we i	there is a house		phrase							TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi ɑ we i lə i	there is a house here		phrase							TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi ɑ we i lə ne	there is a house over there		phrase							TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi dɑ: du'	many houses		phrase			house,buildings				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi də du	group of houses		phrase			buildings				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi də ge	part of the house		phrase			house,locations				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi də' nɔ	some houses		phrase			house				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi də nə	few houses		phrase			house				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi də plə i o lə	in the village		phrase							TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi də plə i o lə bə wɑ pu	the house is in the village		phrase							TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi do plə	the whole house		phrase							TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi kə lə	all the houses		phrase			buildings				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hi o te də plə	the house is alone		phrase							TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hiʔ də plʌ	one house		phrase			animals				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hiʔ ki plʌ	two houses		phrase							TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
hiʔ nu plʌ	seven houses		phrase			house				TS	JGS			7/9/2012	ThurSept9of2012OfficeJessicaTrent		1		Fall 2012
ho θɑ θe də pɑ ɑ θɑ do	they (a group of children) are angry		phrase							TS	JGS						1		Fall 2012
ho θɑ θe də pɑ ɑ θɑ do	they (a group of children) are angry		phrase							ETP	JGS						1		Fall 2012
jə ɔ lɔ twi tə tu	I have a dog		phrase			animals				NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
jə ɔkɔ lə bə kə θe kʰwa, jə ɔkɔ lə pə kə θe kʰwa	I want us to wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə gəgetɑ	I become		phrase							TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
jə gəgetɑ bwɑ θɑ bwɑ	I become old		phrase							TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
jə hi ə kwe lə ʔəwe kə tuʷe o θi	I allow him to burn the tree		phrase							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
jə ke sʰu he	I go home		phrase			house,locations				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə kə te	I will say		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə kə tɛ nɑ θe kʰwa	I will say to you now, wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə kə tɛ na θe kwa or jə kə tɛ nɑ nə kə bɑ θe kʰwa	I say that you will wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə kRə θe kʰwa	I should wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə lɔ kɔ	I want		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə lɔ kɔ kʰwa	I want a cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə lɔ kɔ lə nə kə θe kʰwa	I want you to wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə lɔkɔ lə ə weθe kə θe kʰwa	I want them to wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə lɔkɔ lʊ nə kə θe kʰwa kə lə	I want you (pl) to wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə lə kɔ lə po mu kə θe kʰwa	I want her to wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə lo pɑ	I need		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə lε tə kwe ŋæ	I go fishing		phrase			food,animals				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə ma əʔ we u θe	I make him burn the tree		phrase							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
jə ma nɔ ə θe	I mark a tree (for demolition		phrase							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
jə ma nɔ θe	somebody marks a tree (for demolition)		phrase							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
jə ma pa ta paʔ	I crush the box		phrase							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə mɑ θe mɑ pɑ	I am able		phrase							TS	JGS			10/4/2012	ThurOct4of2012OfficeJessicaTrent				Fall 2012
jə me	I ask, order	stronger than tell	phrase							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
jə me pwa θa wi ta po	I am a singer		phrase			entertainment				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə me pwa χɹe ɔ ta po	I am a beggar		phrase							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə mu la lə jə ɔ la twi tə tu pa sa jə ta təʔo pa	I wish I had a dog, but I don't		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
jə mu la lə jə ɔ la twi tə tu pa sa jə ta ʔo pa	I wish I had a dog, but I don't		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
jə mu la lə jə kə ʔo lɔ twi tə tu	I wish I had a dog		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
jə ne θe	point out the tree (for demolition)		phrase							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
jə o su o kle	I am healthy		phrase			health				TS	JGS						1		Fall 2012
jə o su o kle	I am healthy		phrase			health				ETP	JGS						1		Fall 2012
jə pli  ə we pokwa	I fear the man (I fear men?)		phrase							NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
jə pli  pwa pokwa	I am afraid of men	I am afraid of "many men"	phrase							NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
jə pli  pwa pokwa təɣa ne	I am afraid of that man		phrase							NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
jə pli t(ʰ)a	I am afraid		phrase							NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
jə pli t(ʰ)a	I feel fear		phrase			emotions				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
jə pli t(ʰ)a mi χa	I fear the ghost		phrase							NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
jə pli twi	I am afraid of dogs		phrase			animals				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
jə sʰo kə mɔ	I think		phrase							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə si kɔ	neither		conjunction							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
jə so ke	I am sick		phrase			health				TS	JGS						1		Fall 2012
jə so ke	I am sick		phrase			health				ETP	JGS						1		Fall 2012
jə so ke nɑ mɑ	I am very sick		phrase			health				ETP	JGS						1		Fall 2012
jə te	I say		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə te	I tell		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə te ə we po kwa pə θe kwa	I tell him to wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə tə li bə kə θe kʰwa	I said that we will wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə tə li nə kə ba θe kʰwa	I said that you will wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə te na dadəmimi	I tell you something		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə te nɑ nə θe kʰwa wile	I say that you washed the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə te na wili θe kwɑ	I said that you wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə te na θe kʰwa	I tell you to wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə te na᷈ θe kwɑ	I said (already) that you wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə te na θe kwæ	I say that you wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə te tɑ̌	I play		phrase			entertainment				TS	JGS			10/4/2012	ThurOct4of2012OfficeJessicaTrent				Fall 2012
jə te wile	I said		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə tɛ li pə kə θe kʰwa	I say that we will wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə tɛ li᷈ pə kə θe kʰwa	I said that we washed the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə tɛ pə kə θe kʰwa	I say that we washed the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə to ta	I grow		phrase			farming				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə tʃo ke pɑ donja	I am very sick		phrase			health				TS	JGS						1		Fall 2012
jə tʃo mɔ, jɛ tʃo mɔ	I think		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jə tu pa t(ʰ)a pli	I feel fear		phrase			emotions				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
jə tuʷe u θeʔ	I burn the tree		phrase							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
jə twi lə o pa	I don't have a dog		phrase			animals				NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
jə ε ta tə kwe ŋæ	I like fishing		phrase			food,animals				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə ε θu ta hi	I like building houses		phrase			houses,buildings				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə ε θu ta tæ	I like building		phrase			buildings				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə θɑ do tɔ	I am angry		phrase			emotions				ETP	JGS						1		Fall 2012
jə θɑ doʔ	I am angry		phrase			emotions				TS	JGS						1		Fall 2012
jə θa ku pasa nə θə tə k_ pa	I am happy, but you are not		phrase			emotions				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə θa pli t(ʰ)a	I feel fear		phrase			emotions				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
jə θa wi	I sing		phrase			entertainment				TS	JGS			10/4/2012	ThurOct4of2012OfficeJessicaTrent				Fall 2012
jə θu ta	I build		phrase							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə θu ta hi	I build a house		phrase			house				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jə χɹe ɔ	I beg		phrase							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jəθe jə sʰu	I wash my hands		phrase							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
jɛ ʃo mɔ dadəmimi	I think something		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jɛ so mə dʊ bə kə θe kʰwa	I thought we would wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jɛ tʃo mu dʊ əweθe kə θe kʰwa,	I thought we washed the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
jɛ tʃo mu dʊ nə kə θe kʰwa	I think you will wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
kɔ næ	chief		noun			people,government				NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
kɔ næ ʃə pwapinjɔ	the leader leads the people		phrase							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
kɔ θa	head		noun			body				NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
kə	to		particle							TS	JGS			10/4/2012	ThurOct4of2012OfficeJessicaTrent				Fall 2012
kə pɔ əʁɔ pæʔ	to be caught		phrase							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
kə θa ne	in the middle		phrase							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
keju	lion		noun			animals				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
keju	lion		noun			animals				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
keju θətu	one lion		phrase			animals				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
ki	two	2	numeral			numbers				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
kwɑ gə me	a married man whose wife has died (widower)		noun			people				ETP	JGS						1		Fall 2012
kwɑ gə me	widower		noun			people					JGS								Fall 2012
kwɑ gə me ɑ θɑ u do mə	the widower is very sad		phrase							ETP	JGS						1		Fall 2012
kwɑ gə me ɑ θɑ θu	the widower is sad		phrase							TS	JGS						1		Fall 2012
la	place		noun			locations				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
la mi	bed	"place sleep"	noun			house				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
lə mi lə ne jə kə lε pa	if you go, I will not go		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
lə mi lə ne jə kə lε si kɔ lɔ	if you go, I will go, too		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
lə mi tə lə ne jə si kɔ	if you will not go I will not go either		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
lə mi tə lə ne jə tə lε pa	if you will not go I will not go either		phrase							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
lə t(ʰ)a ki ne jə pli t(ʰ)a	I am afraid/fear the dark		phrase							NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
lə t(ʰ)a ki θu ne jə pli t(ʰ)a	I am afraid/fear the dark		phrase							NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
lə ʔə pɔ ko	over		adposition							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
lu	little	diminutive	adjective							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
lu tʰi	wash (yourself)		verb							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
lʌ hʌ pʰʌ pǔ	instrument		noun							TS	JGS			10/4/2012	ThurOct4of2012OfficeJessicaTrent				Fall 2012
ma	do		verb							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
ma nɔ	mark		verb							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
ma nɔ ta ʔə sʰə	limit		noun							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
ma ta təmimi	do something		phrase							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
mɑ θe mɑ pɑ	able		verb							TS	JGS			10/4/2012	ThurOct4of2012OfficeJessicaTrent				Fall 2012
mæ	wife		noun			people				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
mæ	wife		noun			people				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
mi	sleep		verb							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
mi lə	because		conjunction							NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
mu	alive	not dead	adjective							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
mu gə mɛʔi ɑ tʃo ge	the widow is sad		phrase							TS	JGS						1		Fall 2012
mu gə mɛʔi ɑ θɑ u do mɑ	the widow is very sad		phrase							TS	JGS						1		Fall 2012
mu kɔ	sky		noun			nature				NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
mu kə nɔ	unmarried woman		noun			people					JGS								Fall 2012
mu kə nɔ	unmarried woman		noun			people				TS	JGS						1		Fall 2012
mu nəkɔ gə hɛɣlə mi si e tɑ lə, mu nɑ kɑʔe gəhəʔ gelɑ mutʃæ kɔ lə	the night becomes day		phrase							TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
mulʰa	wish		verb							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
mutʃɑ kɔʔe gəhəʔ gelɑ mu næ kɔ lə	the day becomes night		phrase							TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
næ	night time		noun			time				TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
nɔ	long		adjective							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
ne	if?									NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
nə kə ʁə hɔ ko	I mark and put a fence around land		phrase							NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
nə kə θe ja	will you wash		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
nə kə θe kʰwæ	you will wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
nə kRə θe kʰwɑ	you should wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
nə nə θe	you will wash		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
nə o su o kle	you are healthy		phrase							TS	JGS						1		Fall 2012
nə o su o kle	you are healthy		phrase							ETP	JGS						1		Fall 2012
nə θɑ do tɔ	you are angry		phrase							TS	JGS						1		Fall 2012
nə θɑ do tɔ	you are angry		phrase							ETP	JGS						1		Fall 2012
nə θɑ θə do tɑ bɑ	you are not angry		phrase							TS	JGS						1		Fall 2012
nə θɑ θə do tɑ bɑ	you are not angry		phrase							ETP	JGS						1		Fall 2012
nə θe	you wash		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
nə θe kə ʃɑ kʰwæ	you wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
nə θe kʰwa	you washed the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
nə θe kʰwæ	you wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
nə θe kʰwæ	you washed the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
nə θe nə tʃu	(you?) wash your hands		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
nə θu gəgetɑ diʔθəʔkəʔ	you (pl) become friends		phrase							TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
ŋæʔ ki peʔ	fish		verb			animals				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
o su o kle	healthy		adjective			health					JGS								Fall 2012
o su o kle	healthy		adjective			health				TS	JGS						1		Fall 2012
o ta	have	have something?	verb							NB	JGS			11/7/2012	WedNov7of2012at4pm		2		Fall 2012
pa pi ta ʔe a to	the crushed box is big		phrase							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
pa ʔi pi ta pasa li	the box was crushed		phrase							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
pɔ ta	make		verb							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
pɔ ta la sʰi nɔ	build a chair		phrase							TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
pɔʔ ŋæʔ	catch a fish		phrase			food,animals				TS	JGS			11/8/2012	ThurNov80f2012at12pm		2		Fall 2012
pə ʃə	govern something		verb			government				NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
pə θe kʰwa	We washed the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
pə θe kwa	We wash the cup		phrase							TS	JGS			9/20/2012	ThuSept20of2012MsTriSaTrentJessica		1		Fall 2012
pʰu	grandmother		noun			people				TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
̬pʰʉ	grandfather		noun			people				TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
pli	fear	fear something	verb			emotions				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
pli mu	a plant that is long like a string	can be used as string, grows in the jungle	noun			plants				NB	JGS			11/20/2012	TuesNov20of2012Jessica		2		Fall 2012
pli t(ʰ)a	fear	"fear something"	phrase			emotions				NB	JGS			11/5/2012	MonNov5of2012MattJessicaHannah		2		Fall 2012
po kwɑ	male human		noun			people				TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
po kwɑ	man		noun			people					JGS								Fall 2012
po kwɑ	man		noun			people				ETP	JGS						1		Fall 2012
po kwɑ i gəʔ geətatɑ bwɑ pu bwɑ lɑ	the boy becomes a married man		phrase							TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
po kwɑ iʔ gəgetɑ bwɑ θɑ bwɑ lɑ	the man becomes older		phrase							TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
po kwɑ po	child		noun			people				TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
po kwɑ po	male baby	baby boy	noun			people				TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
po kwɑ po ɛigəgɛtɑ po kwɑ	the boy becomes a man		phrase							TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
po kwɑ poʔ o plɛ ɾɑ	baby boy		noun			people				TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
po kwɑʔ ɑ θɑʔ bwɑʔi ptθi	the old man dies		phrase							TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
po kwɑʔ iʔ ɑ mi	the man sleeps		phrase							TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
po kwɑʔ iʔ ɑʔ o bwi	the man rests		phrase							TS	JGS			9/13/2012	ThuSept13of2012OfficeMsTriSaJessica		1		Fall 2012
